,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20
10,Northern Territory,Australia,-12.4634,130.8456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,0.0,3.0,-3.0,0.0,3.0,0.0,-2.0,-1.0,4.0,-1.0,-3.0,0.0,2.0,-2.0,0.0,-1.0,1.0,0.0,0.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
11,Queensland,Australia,-28.0167,153.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,-165.0,0.0,172.0,-145.0,-27.0,0.0,0.0,70.0,-70.0,0.0,0.0,296.0,-296.0,0.0,0.0,0.0,0.0,0.0,65.0,58.0,-123.0,8.0,1.0,-4.0,12.0,-6.0,-7.0,-4.0,5.0,-1.0,1.0,20.0,-25.0,2.0,4.0,-5.0,1.0,-1.0,4.0,-4.0,0.0,0.0,0.0,-1.0
12,South Australia,Australia,-34.9285,138.6007,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,-40.0,0.0,7.0,-7.0,0.0,67.0,-8.0,-59.0,0.0,0.0,61.0,-61.0,39.0,13.0,-52.0,0.0,38.0,-31.0,5.0,-6.0,1.0,-6.0,8.0,-6.0,3.0,-6.0,0.0,2.0,3.0,-5.0,0.0,2.0,1.0,-2.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
13,Tasmania,Australia,-41.4545,145.9707,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,-21.0,0.0,22.0,-22.0,0.0,0.0,0.0,5.0,-5.0,14.0,-14.0,0.0,0.0,4.0,-1.0,0.0,11.0,1.0,-4.0,-5.0,3.0,-4.0,2.0,2.0,-5.0,-3.0,5.0,-5.0,-1.0,2.0,5.0,-6.0,6.0,-7.0,0.0,2.0,-2.0,4.0,-1.0,-2.0,1.0,-1.0,-1.0,1.0
14,Victoria,Australia,-37.8136,144.9631,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,-62.0,27.0,-27.0,52.0,-30.0,-2.0,-20.0,0.0,100.0,-48.0,27.0,-25.0,-3.0,-5.0,1.0,-47.0,0.0,116.0,74.0,-190.0,0.0,0.0,192.0,-192.0,19.0,3.0,-9.0,-13.0,24.0,-18.0,35.0,-33.0,-5.0,5.0,-5.0,12.0,-8.0,-3.0,-2.0,5.0,-7.0,0.0,11.0,-1.0,-9.0,4.0,-5.0,9.0,1.0,4.0,11.0,-25.0,22.0,-12.0,-10.0,22.0,-7.0,-15.0,19.0
15,Western Australia,Australia,-31.9505,115.8605,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,27.0,-27.0,13.0,-13.0,7.0,9.0,12.0,-28.0,0.0,70.0,-70.0,0.0,8.0,25.0,-20.0,-13.0,0.0,35.0,-35.0,87.0,-85.0,-2.0,0.0,95.0,-87.0,0.0,-1.0,-1.0,8.0,-6.0,-8.0,9.0,3.0,-12.0,4.0,5.0,-6.0,2.0,-5.0,0.0,6.0,-6.0,2.0,-2.0,0.0,1.0,0.0,-1.0,0.0,3.0,-1.0,0.0,-2.0,0.0
16,,Austria,47.5162,14.5501,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,2.0,-2.0,0.0,0.0,-5.0,13.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,10.0,-113.0,254.0,-97.0,302.0,-118.0,-28.0,-40.0,212.0,6.0,-26.0,118.0,-117.0,262.0,96.0,-284.0,-157.0,-27.0,-66.0,175.0,423.0,-170.0,-208.0,-223.0,-157.0,210.0,17.0,9.0,-188.0,53.0,-52.0,-99.0,138.0,-19.0,-71.0,75.0,-133.0,-22.0,40.0,58.0,31.0,-118.0,79.0,-46.0,-29.0,7.0,17.0,69.0,-55.0,-35.0,-13.0,-14.0,12.0,13.0,140.0
17,,Azerbaijan,40.1431,47.5769,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,5.0,-6.0,1.0,0.0,0.0,5.0,-5.0,0.0,0.0,11.0,-11.0,0.0,0.0,6.0,-6.0,0.0,12.0,-12.0,19.0,19.0,20.0,-17.0,9.0,-11.0,23.0,-9.0,3.0,12.0,-6.0,60.0,-43.0,-5.0,-32.0,-1.0,24.0,2.0,-8.0,-36.0,36.0,-13.0,12.0,-18.0,6.0,-16.0,9.0,-11.0,0.0,-13.0,10.0,19.0,-14.0,0.0,-30.0,109.0,-65.0,9.0,5.0,13.0,-31.0,103.0,-88.0
18,,Bahamas,25.0343,-77.3963,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,4.0,-3.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,4.0,-4.0,1.0,0.0,-1.0,2.0,-1.0,-1.0,7.0,-7.0,1.0,-1.0,2.0,-3.0,1.0,0.0,1.0,0.0,-1.0,0.0,5.0,1.0,-6.0,2.0,-2.0,2.0,-2.0,0.0,1.0,-1.0,1.0,-1.0,0.0
19,,Bahrain,26.0275,50.55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,0.0,10.0,-2.0,5.0,-13.0,9.0,-9.0,16.0,1.0,-13.0,3.0,5.0,-12.0,25.0,-1.0,-24.0,28.0,-28.0,27.0,-4.0,15.0,-31.0,0.0,9.0,26.0,2.0,-43.0,40.0,-33.0,19.0,-27.0,19.0,23.0,-22.0,-4.0,-13.0,30.0,21.0,-36.0,22.0,-18.0,8.0,-26.0,6.0,5.0,227.0,-186.0,-25.0,16.0,-18.0,0.0,63.0,53.0,-100.0,10.0,-42.0,137.0,-124.0,-8.0,80.0,42.0,-112.0,-1.0,-12.0,67.0,-42.0,-27.0,135.0,139.0,-165.0,26.0,-127.0,0.0,595.0
20,,Bangladesh,23.685,90.3563,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-4.0,4.0,-4.0,4.0,2.0,-6.0,0.0,1.0,3.0,-1.0,-3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-3.0,7.0,-7.0,9.0,-1.0,1.0,1.0,-8.0,3.0,11.0,-12.0,-3.0,8.0,0.0,-1.0,3.0,-1.0,4.0,-11.0,883.0,-740.0,48.0,-194.0,507.0,-316.0,122.0,-77.0,16.0,-7.0,-31.0,-214.0,521.0,-286.0,21.0,-44.0,196.0,-194.0
21,,Barbados,13.1939,-59.5432,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-6.0,0.0,2.0,1.0,-3.0,0.0,0.0,2.0,-2.0,2.0,-2.0,0.0,2.0,-2.0,2.0,4.0,-6.0,5.0,-4.0,-1.0,8.0,-8.0,0.0,0.0,0.0,0.0,5.0,-5.0,2.0,-1.0,-1.0,6.0,-6.0,4.0,-4.0,0.0,0.0,8.0,-8.0,0.0,2.0,-1.0,-1.0,0.0,2.0
22,,Belarus,53.7098,27.9534,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,10.0,-10.0,0.0,7.0,0.0,-7.0,3.0,-3.0,0.0,0.0,15.0,-9.0,-6.0,0.0,0.0,-1.0,2.0,0.0,22.0,39.0,-32.0,-27.0,28.0,-31.0,0.0,0.0,0.0,139.0,-139.0,152.0,-132.0,43.0,129.0,-23.0,13.0,271.0,-331.0,-77.0,208.0,-174.0,235.0,218.0,-333.0,-120.0,-16.0,449.0,105.0,62.0,-262.0,149.0,-210.0,-231.0,318.0,294.0,-280.0,182.0,52.0,-257.0,-236.0,292.0,305.0
23,,Belgium,50.8333,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,-30.0,-30.0,292.0,-262.0,0.0,198.0,-112.0,42.0,55.0,22.0,91.0,-128.0,1.0,267.0,-73.0,14.0,-2.0,129.0,-269.0,-64.0,353.0,-41.0,-79.0,14.0,59.0,-233.0,-83.0,78.0,216.0,-56.0,-12.0,22.0,-271.0,-31.0,324.0,-64.0,-45.0,-27.0,73.0,-275.0,-28.0,275.0,-47.0,23.0,3.0,-221.0,-29.0,-6.0,227.0,-41.0,-28.0,-11.0,21.0,-176.0,-20.0,170.0,-31.0,16.0,-31.0,11.0,-143.0,3.0,130.0
